gene	p	beta	se	cmafTotal	cmafUsed	nsnpsTotal	nsnpsUsed	nmiss
FMN2	0.00000000761307031985178	2.60355264509871	0.450690463286509	0.0797413793103448	0.0797413793103448	28	28	0
COL22A1	0.00000000968237812137963	3.25144814148855	0.566829540245077	0.0926724137931035	0.0926724137931035	36	36	0
SPHKAP	0.0000000111553803694764	1.88706066987635	0.330358746290977	0.0775862068965517	0.0775862068965517	30	30	0
MYO16	0.0000000159609697878063	2.40342186428616	0.42531663241566	0.0711206896551724	0.0711206896551724	27	27	0
ZNF99	0.0000000295784562489961	2.36527566062035	0.426643660857149	0.0603448275862069	0.0603448275862069	14	14	0
PLCB1	0.0000000311296736702962	3.86022718076548	0.697426203423664	0.0366379310344828	0.0366379310344828	15	15	0
MYH1	0.0000000320621183216476	3.69151845713568	0.667569825864185	0.0495689655172414	0.0495689655172414	18	18	0
RYR2	0.000000033615266371313	1.86651873269033	0.338046706455586	0.198275862068966	0.198275862068966	74	74	0
COL4A4	0.0000000438253979306706	3.03653772809212	0.554649177634384	0.0711206896551724	0.0711206896551724	27	27	0
AFF2	0.0000000580511100433679	2.95802645111238	0.545288224156536	0.0495689655172414	0.0495689655172414	20	20	0
PTPRC	0.0000000611481217991615	2.15332045535886	0.397628268916813	0.0495689655172414	0.0495689655172414	17	17	0
FAM135B	0.0000000649001614251553	2.06594427417634	0.382246294787152	0.0732758620689655	0.0732758620689655	24	24	0
C12orf42	0.0000000757580963884704	3.44220512587493	0.640177975839534	0.0280172413793103	0.0280172413793103	6	6	0
PREX2	0.0000000768086231231109	2.29444310567027	0.426915297632472	0.0495689655172414	0.0495689655172414	18	18	0
NBEA	0.0000000817191704994534	2.12895403887432	0.396949190000917	0.0711206896551724	0.0711206896551724	32	32	0
CXorf22	0.0000000921828816387537	4.11620704197211	0.77060946820941	0.0344827586206897	0.0344827586206897	16	16	0
MAGI2	0.000000092570655484403	2.25752233649518	0.422698836772981	0.0474137931034483	0.0474137931034483	17	17	0
CDKN2A	0.0000000997557808903169	1.92961995055666	0.36222245652325	0.0560344827586207	0.0560344827586207	16	16	0
ERBB4	0.000000100574374230741	2.04546396883025	0.384075422932858	0.0668103448275862	0.0668103448275862	22	22	0
COL4A1	0.000000114501925008138	1.72274523716552	0.324919857687008	0.0732758620689655	0.0732758620689655	30	30	0
COL24A1	0.000000158488426907657	2.11571484453101	0.403576377112892	0.0689655172413793	0.0689655172413793	27	27	0
LRP1B	0.000000206057321183682	2.27689792176654	0.438388656134143	0.140086206896552	0.140086206896552	55	55	0
GRIA2	0.000000235573867280804	3.76557123926854	0.72851630162162	0.0581896551724138	0.0581896551724138	16	16	0
CDH11	0.000000250568283048642	3.69141267154521	0.715767906862273	0.0366379310344828	0.0366379310344828	14	14	0
COL1A2	0.000000252904361838256	2.33530936637167	0.452971071716953	0.0495689655172414	0.0495689655172414	16	16	0
COL11A2	0.000000253374564905905	2.44495256247432	0.474270162751451	0.0625	0.0625	25	25	0
DNAH10	0.000000262176037358304	2.02814523456888	0.393907367644233	0.0991379310344828	0.0991379310344828	41	41	0
PDE10A	0.000000282197776098839	3.0522503632828	0.594405386296225	0.040948275862069	0.040948275862069	12	12	0
OXA1L	0.000000295135593493557	3.17429421813859	0.619189981247827	0.040948275862069	0.040948275862069	5	5	0
DGKI	0.000000328372891604219	4.8501713628928	0.949824055670407	0.0474137931034483	0.0474137931034483	13	13	0
RIMS1	0.000000329021903820075	2.29780514011793	0.450019184353367	0.0668103448275862	0.0668103448275862	26	25	0
KDR	0.000000363999022329023	2.78448090488297	0.547384656170626	0.0366379310344828	0.0366379310344828	10	10	0
FSCB	0.000000376892270510649	2.86833007787556	0.564601530791295	0.040948275862069	0.040948275862069	15	15	0
DPY19L2	0.000000460404216955809	2.84023467218639	0.563301765236195	0.0323275862068966	0.0323275862068966	13	13	0
ABCA4	0.000000481453878241797	2.39636540945232	0.476077642927149	0.0474137931034483	0.0474137931034483	18	18	0
SLC7A3	0.000000492416717166249	3.50816824341836	0.697553756468952	0.0280172413793103	0.0280172413793103	13	13	0
PROL1	0.000000494869459545053	2.85580415812881	0.567947227226532	0.0280172413793103	0.0280172413793103	8	8	0
LRRTM4	0.000000525433852203228	5.3391690934967	1.06426115221972	0.0387931034482759	0.0387931034482759	13	13	0
PCDHB4	0.000000563891429135858	3.83715999365159	0.766942600010273	0.0495689655172414	0.0495689655172414	13	13	0
PCDH15	0.000000578140233781766	1.99434392843542	0.398998075955521	0.0797413793103448	0.0797413793103448	30	30	0
RAG1	0.00000060098233010164	2.88771490954638	0.578595887264761	0.0301724137931034	0.0301724137931034	10	10	0
COL2A1	0.000000604737698776129	2.82095015102738	0.565354890686904	0.0581896551724138	0.0581896551724138	24	24	0
DMD	0.000000610294196671695	2.51009389632671	0.5032335044584	0.114224137931034	0.114224137931034	42	42	0
KIAA0226	0.000000705638482869653	4.77856170889728	0.963457508578762	0.0237068965517241	0.0237068965517241	6	6	0
CDH7	0.000000719756839272253	3.41821685344665	0.689719034657293	0.0344827586206897	0.0344827586206897	15	15	0
XIRP2	0.00000081225053719232	1.9307236522054	0.391436898529527	0.146551724137931	0.146551724137931	49	49	0
GRIA4	0.000000815138586958021	3.39026361224509	0.687442132176961	0.0280172413793103	0.0280172413793103	12	12	0
TRIM51	0.00000089585754927941	2.75287812403079	0.560298475350047	0.0387931034482759	0.0387931034482759	10	10	0
PPP1R3A	0.000000952234714892007	2.64145426173602	0.538933611178781	0.0495689655172414	0.0495689655172414	17	17	0
COL6A5	0.00000102739272919048	2.10126448079679	0.430030246142521	0.0775862068965517	0.0775862068965517	33	33	0
ROS1	0.00000105059451520162	3.16285782335714	0.647872094346443	0.040948275862069	0.040948275862069	16	16	0
CGNL1	0.00000130929476073113	2.42109238869236	0.500397550789161	0.0366379310344828	0.0366379310344828	15	15	0
AFF3	0.00000134674687792112	2.60772786365028	0.539597475057445	0.0474137931034483	0.0474137931034483	19	19	0
PPM1D	0.00000156847118095441	3.71870105189451	0.77435703481214	0.0280172413793103	0.0280172413793103	5	5	0
FAT1	0.00000189176230463475	1.80131934534753	0.378058645488034	0.084051724137931	0.084051724137931	35	35	0
RBMXL3	0.00000193286722082917	3.43524041148817	0.721640722828592	0.0301724137931034	0.0301724137931034	13	13	0
lipid_raft	0.00000195061751712003	1.00753002833769	0.211733839741288	0.148706896551724	0.148706896551724	61	61	0
NALCN	0.00000199112529604486	2.42490124659368	0.510041338331688	0.0775862068965517	0.0775862068965517	28	28	0
VCAN	0.00000201131627799368	1.97635853381917	0.41587551373462	0.109913793103448	0.109913793103448	40	40	0
MROH2B	0.00000207876084689435	2.18378439341875	0.460169109980531	0.0625	0.0625	25	25	0
HFM1	0.00000227184051225944	1.954597927049	0.413443614181643	0.0560344827586207	0.0560344827586207	20	20	0
PROS1	0.00000231618243102555	3.27635743851854	0.693603197826903	0.021551724137931	0.021551724137931	3	3	0
GK2	0.00000231618243102555	4.71175623510211	0.997476390587408	0.021551724137931	0.021551724137931	6	6	0
TTC29	0.00000240765598625771	3.32701277938386	0.705503714918888	0.021551724137931	0.021551724137931	7	7	0
CTNNA2	0.00000243377602611844	3.44832327055281	0.731568844391834	0.0323275862068966	0.0323275862068966	14	14	0
PCLO	0.00000305687011441576	2.17045351974822	0.465067829345261	0.150862068965517	0.150862068965517	57	57	0
DGKK	0.00000310934616450647	4.15670572289188	0.891334872867165	0.021551724137931	0.021551724137931	9	9	0
F13B	0.00000315274527042165	2.40946436106414	0.516984830313125	0.0366379310344828	0.0366379310344828	12	12	0
PAPPA	0.00000322361019320426	2.44115872587792	0.524300186696318	0.0452586206896552	0.0452586206896552	18	18	0
DPYSL3	0.00000325478045526354	3.53410794401964	0.759361857162826	0.021551724137931	0.021551724137931	10	10	0
SMEK3P	0.00000335448667300721	4.03175265386518	0.86744879070251	0.021551724137931	0.021551724137931	9	9	0
ZNF208	0.00000347006817733884	2.97052448809779	0.640084276585956	0.0495689655172414	0.0495689655172414	13	13	0
SLITRK3	0.00000353771753823834	4.07783456712219	0.879442111519513	0.0344827586206897	0.0344827586206897	14	14	0
LOC93432	0.00000367391407899835	1.9510464758695	0.421481083710005	0.0474137931034483	0.0474137931034483	20	20	0
KCNQ3	0.00000387752201721843	4.01840413137302	0.870191000814205	0.0387931034482759	0.0387931034482759	14	14	0
NME8	0.0000048124979773875	2.73584526768919	0.598286685656425	0.0452586206896552	0.0452586206896552	11	11	0
VPS13B	0.00000497390882984216	1.88745185623754	0.413381363170064	0.0452586206896552	0.0452586206896552	15	15	0
PKHD1	0.00000507398093589685	2.23213989295944	0.489321361939295	0.0689655172413793	0.0689655172413793	28	28	0
CNTN2	0.00000511261471775771	3.76322664325509	0.82524858426484	0.0237068965517241	0.0237068965517241	11	11	0
EYA1	0.00000518539983485825	2.46086101949409	0.540000774375232	0.0366379310344828	0.0366379310344828	14	14	0
CD163	0.00000529434744083572	3.11176935759004	0.683488850613519	0.0258620689655172	0.0258620689655172	11	11	0
ENPP3	0.0000053379995240866	1.72848473691609	0.37979948276633	0.0474137931034483	0.0474137931034483	13	13	0
PCDH19	0.00000563157909302608	3.16453932534478	0.697070503459188	0.0258620689655172	0.0258620689655172	8	8	0
ERICH3	0.00000583756964188002	3.58288474242886	0.790541847567079	0.0538793103448276	0.0538793103448276	20	20	0
ZNF799	0.00000619024194271047	2.24630424121222	0.496993588322775	0.0452586206896552	0.0452586206896552	6	6	0
ITIH6	0.00000647302864398089	6.47914171836037	1.43651525987277	0.0237068965517241	0.0237068965517241	11	11	0
C9	0.00000654519094367727	2.79751091580353	0.620570476859297	0.0237068965517241	0.0237068965517241	6	6	0
KIAA2022	0.00000663283997440081	9.41193089332714	2.08915273520136	0.0258620689655172	0.0258620689655172	9	9	0
PAPPA2	0.00000671528934106454	3.17114763658913	0.704305291715771	0.0560344827586207	0.0560344827586207	24	24	0
ST18	0.00000687043744117312	2.80665730986124	0.624025654691601	0.0344827586206897	0.0344827586206897	15	15	0
CTNNA3	0.00000718000731864782	2.38608998775152	0.531626655030091	0.0280172413793103	0.0280172413793103	9	9	0
IL1RAPL1	0.00000730925664915255	2.05352260489983	0.457917844175634	0.0387931034482759	0.0387931034482759	12	12	0
THSD7B	0.00000751868320142454	2.45415177228691	0.547991280107949	0.0452586206896552	0.0452586206896552	18	18	0
KHDRBS2	0.00000777766614909381	2.44624893952169	0.54711062776485	0.0258620689655172	0.0258620689655172	10	10	0
C12orf40	0.00000818281374728728	2.53324010521451	0.567947227226532	0.0280172413793103	0.0280172413793103	6	6	0
SPATA16	0.00000818281374728728	2.53324010521451	0.567947227226532	0.0280172413793103	0.0280172413793103	12	12	0
RGS7	0.00000830902698867227	2.63659887303967	0.591555244980092	0.0301724137931034	0.0301724137931034	7	7	0
NBPF22P	0.00000831073775205962	3.01781146289202	0.67709195396142	0.0366379310344828	0.0366379310344828	8	8	0
RIMS2	0.00000876993778745072	1.86072806585048	0.41856710547373	0.0431034482758621	0.0431034482758621	16	16	0
KIAA1211	0.00000965614906064959	3.08421761421609	0.697040338721517	0.0323275862068966	0.0323275862068966	12	12	0
LPPR4	0.0000098232544844423	2.29017822605938	0.518019416022894	0.0301724137931034	0.0301724137931034	11	11	0
C1orf168	0.00000987270025266873	3.44244168312974	0.778843028602005	0.0193965517241379	0.0193965517241379	7	7	0
KIR2DS4	0.00000997342165644865	1.33093154600802	0.301269174368089	0.0495689655172414	0.0495689655172414	14	14	0
COL4A3	0.0000100621390989179	3.35229529042527	0.759153416629285	0.0517241379310345	0.0517241379310345	18	18	0
IGSF1	0.0000110216281906474	3.4356279959937	0.781518341626597	0.0323275862068966	0.0323275862068966	13	13	0
PDILT	0.0000111470957306215	3.840869509397	0.874189500303367	0.0237068965517241	0.0237068965517241	9	9	0
Citric.no.IDH	0.0000113849686210267	0.948878773227386	0.216192553347127	0.157327586206897	0.157327586206897	65	65	0
EBF1	0.0000115733322386227	3.08525126285764	0.70351598291382	0.0301724137931034	0.0301724137931034	7	7	0
CRB1	0.0000121531053452804	1.92213586816784	0.439363117498442	0.0646551724137931	0.0646551724137931	23	23	0
CFH	0.0000126914318840682	2.44512106205988	0.560119162738597	0.0452586206896552	0.0452586206896552	17	17	0
SATB2	0.0000132235050140972	3.71674049264833	0.853173053611687	0.021551724137931	0.021551724137931	6	6	0
OR2M2	0.0000135115509724231	3.49343665466604	0.802783985536272	0.0237068965517241	0.0237068965517241	4	4	0
BRWD3	0.0000136633334335451	1.73592207959693	0.399135697192271	0.0344827586206897	0.0344827586206897	15	15	0
FAM47B	0.0000143635574462521	2.14075287252884	0.493462416315953	0.0431034482758621	0.0431034482758621	19	19	0
COL4A6	0.000014608372661948	2.95691665787734	0.682179807540226	0.0301724137931034	0.0301724137931034	14	14	0
PCDH11X	0.0000157711222013339	1.97820482516922	0.458168798874691	0.0603448275862069	0.0603448275862069	24	24	0
CSMD1	0.0000162894034811984	1.51821334962714	0.352213727655725	0.144396551724138	0.144396551724138	60	60	0
PCDH11Y	0.0000164537877532808	3.02846938088469	0.702943577185221	0.021551724137931	0.021551724137931	10	10	0
PCDHB3	0.0000164948833577228	4.03497574133383	0.936685600755948	0.0237068965517241	0.0237068965517241	9	9	0
PRPF8	0.0000168797070427403	2.85185326436158	0.662819221913173	0.0237068965517241	0.0237068965517241	8	8	0
GABRG2	0.0000168797070427403	2.85185326436158	0.662819221913173	0.0237068965517241	0.0237068965517241	8	8	0
NEK10	0.0000173898681072656	2.70995287388642	0.630806730186993	0.021551724137931	0.021551724137931	10	10	0
KLHL4	0.0000173898681072656	2.70995287388642	0.630806730186993	0.021551724137931	0.021551724137931	9	9	0
SLITRK2	0.0000173898681072656	2.70995287388642	0.630806730186993	0.021551724137931	0.021551724137931	8	8	0
C7	0.0000175401973038788	2.35279445492264	0.547913057638327	0.0387931034482759	0.0387931034482759	14	14	0
ZEB1	0.0000180320400703321	3.46426910302235	0.807905846706409	0.0193965517241379	0.0193965517241379	8	8	0
CNGB3	0.0000198842279515546	2.05307129633672	0.481242706022083	0.040948275862069	0.040948275862069	12	12	0
COL4A2	0.0000206900648942013	1.94533164019167	0.456939072971501	0.0581896551724138	0.0581896551724138	25	25	0
DOCK11	0.0000214881351829198	3.12708729785145	0.735986313642536	0.021551724137931	0.021551724137931	9	9	0
ZFHX4	0.0000216095593503741	2.4264479547241	0.571254708775488	0.0732758620689655	0.0732758620689655	30	30	0
COL12A1	0.0000238816201031289	3.07843513907238	0.728603448806015	0.0280172413793103	0.0280172413793103	13	13	0
ADAM7	0.0000240541747590876	2.99838102913347	0.709928717718915	0.0323275862068966	0.0323275862068966	14	14	0
POU6F2	0.0000242258581604626	3.0125391236225	0.713551662885093	0.021551724137931	0.021551724137931	7	7	0
PDE1C	0.0000245937592278067	2.94773403761655	0.698764252334104	0.0237068965517241	0.0237068965517241	9	9	0
MORC1	0.0000250100546015751	2.4006297951093	0.569583770192128	0.0344827586206897	0.0344827586206897	14	14	0
GPR158	0.0000256856137438271	2.66378322872496	0.632924636031488	0.0452586206896552	0.0452586206896552	16	16	0
CXorf67	0.0000258566523516045	2.46785007635764	0.586579279407901	0.0258620689655172	0.0258620689655172	9	9	0
TRIM48	0.0000259836821912425	4.66968698300299	1.11022271748846	0.0172413793103448	0.0172413793103448	3	3	0
CCDC181	0.0000259836821912425	3.24710424710319	0.772002259318228	0.0172413793103448	0.0172413793103448	6	6	0
GABRG1	0.0000259836821912425	3.24710424710319	0.772002259318228	0.0172413793103448	0.0172413793103448	8	8	0
FGF13	0.0000259836821912425	3.24710424710319	0.772002259318228	0.0172413793103448	0.0172413793103448	7	7	0
OR2M7	0.0000269736355316382	2.57096888274182	0.612482719969938	0.0280172413793103	0.0280172413793103	6	6	0
IDO1	0.0000273004404238321	3.15933976180755	0.753140127007815	0.0280172413793103	0.0280172413793103	9	9	0
NRK	0.0000293660008362994	1.8856398906793	0.451290542697451	0.0387931034482759	0.0387931034482759	16	16	0
STK32A	0.0000295066947882859	2.22186966579211	0.531898904699942	0.0280172413793103	0.0280172413793103	9	9	0
PHACTR3	0.0000308973098810919	2.72529445287256	0.65405759679627	0.0237068965517241	0.0237068965517241	5	5	0
MS4A14	0.0000309253408321337	2.64202080772381	0.634103794635228	0.0366379310344828	0.0366379310344828	15	15	0
PCDHA11	0.0000320187563849684	4.41483114631697	1.06161175842927	0.0172413793103448	0.0172413793103448	8	8	0
PTPRQ	0.0000320782973562873	1.562072040729	0.375661780262524	0.0603448275862069	0.0603448275862069	25	25	0
DBH	0.0000327034003165436	3.50191025809521	0.843066803916245	0.0301724137931034	0.0301724137931034	10	10	0
citric	0.0000331236246497342	0.876216652333625	0.211093076174069	0.161637931034483	0.161637931034483	67	67	0
OR5AR1	0.0000336913143660222	3.56357353119367	0.859321086007378	0.0172413793103448	0.0172413793103448	7	7	0
MUM1L1	0.0000338558308221965	6.19186850809319	1.49351072286662	0.0237068965517241	0.0237068965517241	9	9	0
SERPINI2	0.0000343448317408657	3.57057061757515	0.861923394153489	0.0172413793103448	0.0172413793103448	5	5	0
KCTD16	0.0000345814843836498	2.86730074983821	0.692419676609577	0.021551724137931	0.021551724137931	9	9	0
LRFN2	0.0000347117959136199	4.223252201367	1.02007864569922	0.0193965517241379	0.0193965517241379	6	6	0
CTDP1	0.0000356816442024041	3.5848352211386	0.86720126257497	0.0172413793103448	0.0172413793103448	5	5	0
CAMTA1	0.0000359262988453009	2.92461426272579	0.70775714735293	0.0301724137931034	0.0301724137931034	14	14	0
UGT2B10	0.0000365021006889239	3.89909135750545	0.944416153400218	0.0172413793103448	0.0172413793103448	5	5	0
PCDHGA4	0.0000373299928896529	3.47394623542263	0.842492968973608	0.0237068965517241	0.0237068965517241	8	8	0
TNIK	0.000037535203588449	2.97785491455458	0.722403270967127	0.0258620689655172	0.0258620689655172	11	11	0
SHROOM4	0.0000377192937607895	3.37731555675176	0.819533194488781	0.0452586206896552	0.0452586206896552	18	18	0
OR6C2	0.0000381733890887264	3.93275490252086	0.954954071761686	0.0172413793103448	0.0172413793103448	3	3	0
SNAP91	0.0000398709053710074	2.04362511759106	0.497447045723645	0.0387931034482759	0.0387931034482759	15	15	0
KRT5	0.0000416918656523208	2.55817500925221	0.62426515267028	0.0323275862068966	0.0323275862068966	12	12	0
SETD8	0.0000420096324243185	2.21420920825496	0.540559971907146	0.0366379310344828	0.0366379310344828	5	5	0
SCN7A	0.0000435801127416768	3.83029800101238	0.937045996868017	0.0474137931034483	0.0474137931034483	14	14	0
LRRIQ1	0.0000441892831721658	1.58406641743359	0.387832538560489	0.0689655172413793	0.0689655172413793	24	24	0
ADAM19	0.0000444982340042364	2.73457936788097	0.669782031367251	0.0258620689655172	0.0258620689655172	9	9	0
PRB2	0.0000452866778093721	2.09528731892139	0.513713491713896	0.040948275862069	0.040948275862069	15	15	0
HCN1	0.0000461367305983847	3.10937488133854	0.763152547827615	0.0387931034482759	0.0387931034482759	16	16	0
TRPA1	0.0000469662446360232	3.03108298709628	0.744695296293643	0.0495689655172414	0.0495689655172414	13	13	0
MEFV	0.000049651227778757	2.54885658659845	0.628220745692297	0.0280172413793103	0.0280172413793103	10	10	0
MYCBP2	0.000051385585636725	2.26422070549814	0.559172625221091	0.040948275862069	0.040948275862069	13	13	0
caveolae	0.0000541673968091354	1.21271024001486	0.300408006302638	0.107758620689655	0.107758620689655	47	47	0
MTMR8	0.0000544842228599475	2.98930632134897	0.740750886721969	0.0193965517241379	0.0193965517241379	8	8	0
SEMA3A	0.000054829615435908	1.88093814642848	0.466268408226015	0.0344827586206897	0.0344827586206897	15	15	0
PCDH17	0.0000551056024329132	4.17982567177154	1.03644587315988	0.021551724137931	0.021551724137931	9	9	0
HUWE1	0.0000554308983081764	4.56321743276162	1.13190131464068	0.0193965517241379	0.0193965517241379	9	9	0
PDE3B	0.0000557593549001945	2.79527204248283	0.693603197826903	0.021551724137931	0.021551724137931	9	9	0
PLXNC1	0.0000557593549001946	2.79527204248283	0.693603197826903	0.021551724137931	0.021551724137931	9	9	0
EML5	0.0000557593549001946	2.79527204248283	0.693603197826903	0.021551724137931	0.021551724137931	9	9	0
NOL4	0.0000558699146950268	2.64919553304736	0.657432548115345	0.0193965517241379	0.0193965517241379	8	8	0
AKT2	0.0000558699146950268	2.64919553304736	0.657432548115345	0.0193965517241379	0.0193965517241379	9	9	0
GCSAML	0.0000558699146950268	2.64919553304736	0.657432548115345	0.0193965517241379	0.0193965517241379	8	8	0
GUCY1A3	0.0000558699146950268	2.64919553304736	0.657432548115345	0.0193965517241379	0.0193965517241379	7	7	0
F8	0.0000572647488450445	3.04417722105498	0.75654147975335	0.021551724137931	0.021551724137931	10	10	0
NRXN3	0.0000595477439342038	3.84206926595163	0.957025169956845	0.021551724137931	0.021551724137931	8	8	0
RBM34	0.0000607565234576901	2.10687280082252	0.525423930843076	0.0301724137931034	0.0301724137931034	7	7	0
NCAM2	0.0000613224590764865	2.15813224678736	0.538501387046489	0.0344827586206897	0.0344827586206897	13	13	0
HTT	0.000061530319178145	3.10703758686524	0.775428798562546	0.0280172413793103	0.0280172413793103	13	13	0
FRMPD4	0.0000619107073775021	2.41719987529216	0.603484162221738	0.040948275862069	0.040948275862069	18	18	0
BRINP1	0.0000620399315718407	2.62691314208225	0.655922412248249	0.0258620689655172	0.0258620689655172	11	11	0
BRINP3	0.0000645344875039314	2.60814470579274	0.652756530999359	0.0560344827586207	0.0560344827586207	16	16	0
ATRX	0.0000646111204917428	2.30970630001543	0.578105179681423	0.0237068965517241	0.0237068965517241	11	11	0
CR2	0.0000659528900308815	1.99728088015019	0.500517382622748	0.0366379310344828	0.0366379310344828	16	16	0
CDH10	0.0000675419812583109	2.10657147401977	0.528654076018945	0.0560344827586207	0.0560344827586207	15	15	0
MKRN3	0.0000675447510238775	4.11037020451525	1.03151936670615	0.021551724137931	0.021551724137931	8	8	0
CES1	0.0000710046458795921	2.19609214615324	0.552768871923442	0.040948275862069	0.040948275862069	9	9	0
SCN2A	0.0000768764888691295	2.39668126387514	0.606150990302027	0.040948275862069	0.040948275862069	16	16	0
ITPR2	0.0000777023231353	4.90641112477833	1.24169606685292	0.0172413793103448	0.0172413793103448	8	8	0
CNBD1	0.0000805494497813775	2.39476866516857	0.607383919753863	0.0237068965517241	0.0237068965517241	9	9	0
MCF2	0.0000818996711131652	2.68733111744168	0.682276363561029	0.021551724137931	0.021551724137931	9	9	0
FLG2	0.0000825532713990877	2.13056438714947	0.541183095478329	0.0323275862068966	0.0323275862068966	15	15	0
NOS3	0.0000848493923619876	2.97171575643696	0.756109205744883	0.0237068965517241	0.0237068965517241	9	9	0
UNC13C	0.0000850227960400637	1.56418782984809	0.398034216981167	0.0797413793103448	0.0797413793103448	30	30	0
SEMA3D	0.0000863699853119203	1.87291508896391	0.477054218870227	0.0366379310344828	0.0366379310344828	11	11	0
MYH10	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	7	7	0
SMOX	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	7	7	0
RIPK4	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	6	6	0
BBX	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	5	5	0
EIF2A	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	6	6	0
JAKMIP2	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	7	7	0
TINAG	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	7	7	0
DPP6	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	7	7	0
TBL1X	0.0000864865569259189	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	7	7	0
RAB3IL1	0.000086486556925919	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	4	4	0
OR14K1	0.0000864865569259191	3.23267267267162	0.82346907660611	0.0150862068965517	0.0150862068965517	4	4	0
GRM8	0.0000920547358279496	2.21029565727424	0.565201573963177	0.0344827586206897	0.0344827586206897	9	9	0
GABRA1	0.0000922125386556689	3.24302973408169	0.829372949589574	0.0193965517241379	0.0193965517241379	6	6	0
ATXN7L1	0.0000922621658313418	2.41121271010143	0.616664424560353	0.0237068965517241	0.0237068965517241	10	10	0
CNTN4	0.0000927360323101154	2.45889430304938	0.629058036088943	0.0280172413793103	0.0280172413793103	7	7	0
CNKSR2	0.0000928202855553951	2.67161919806228	0.683517737583739	0.0193965517241379	0.0193965517241379	9	9	0
CDH4	0.0000935186787517823	3.43382991884725	0.878932154472618	0.0172413793103448	0.0172413793103448	6	6	0
MEOX2	0.0000953715973872578	2.76493170614328	0.708579847899195	0.0193965517241379	0.0193965517241379	8	8	0
DLG4	0.0000958854908918346	3.33701955801468	0.855476182665649	0.0150862068965517	0.0150862068965517	7	7	0
